PUZZLE,CATEGORY,DATE USED,WHEN USED
UNDER MY PILLOW,Place,4/20/11 (#5423),R4
STRIVING TO BE THE BEST,What Are You Doing?,4/20/11 (#5423),R5
DUNE BUGGY,Thing,4/20/11 (#5423),BR
BEAUTIFUL SMILE,Thing,4/21/11 (#5424),T1
THE SKY'S THE LIMIT,Phrase,4/21/11 (#5424),T2
POP STAR KATY PERRY,Show Biz,4/21/11 (#5424),R1
LEFT FIELD MOUSE,Before & After,4/21/11 (#5424),R2
COMBING THE BEACH FOR SEASHELLS,What Are You Doing?,4/21/11 (#5424),R3*
ANTIQUE SHOP,Place,4/21/11 (#5424),T3
EMPLOYEE OF THE MONTH,Person,4/21/11 (#5424),R4
CONNECTING THE DOTS,What Are You Doing?,4/21/11 (#5424),R5
GIRLS' NIGHT OUT,Event,4/21/11 (#5424),R6
PURE GOLD,Thing,4/21/11 (#5424),BR
LOVE CONQUERS ALL,Quotation,4/22/11 (#5425),T1
POTTERY WHEEL,Thing,4/22/11 (#5425),T2
MADE FROM THE FINEST INGREDIENTS,Phrase,4/22/11 (#5425),R1
EATING LUNCH AT FISHERMAN'S WHARF,What Are You Doing?,4/22/11 (#5425),R2*
THE GIRL WITH THE DRAGON TATTOO,Best Seller,4/22/11 (#5425),R3
DISTRICT OF COLUMBIA,On the Map,4/22/11 (#5425),T3
PITCHER & CATCHER,People,4/22/11 (#5425),R4
CRYSTAL CHANDELIER,Around the House,4/22/11 (#5425),R5
I'M FLEXIBLE,Phrase,4/22/11 (#5425),BR
BEAT THE HEAT,Rhyme Time,4/25/11 (#5426),T1
MONOPOLY BOARD,Fun & Games,4/25/11 (#5426),T2
ROAD RUNNER & WILE E. COYOTE,Fictional Characters,4/25/11 (#5426),R1
OPEN SESAME SEED BUN,Before & After,4/25/11 (#5426),R2
A ONCE-IN-A-LIFETIME EXPERIENCE,Event,4/25/11 (#5426),R3*
COLLEGE ROOMMATES,People,4/25/11 (#5426),T3
LAS VEGAS WEDDING CHAPEL,Rhyme Time,4/25/11 (#5426),R4
WOBBLY LEGS,Things,4/25/11 (#5426),BR
SEEING A MIRAGE,Event,4/26/11 (#5427),T1
AEROBICS CLASS,Fun & Games,4/26/11 (#5427),T2
DEATH VALLEY NATIONAL PARK,Landmark,4/26/11 (#5427),R1
STEAK BEAN AND CHEESE BURRITO,Food & Drink,4/26/11 (#5427),R2*
YOU'RE THE ONE THAT I WANT,Song Lyrics,4/26/11 (#5427),R3
FAIRY GODMOTHER,Fictional Character,4/26/11 (#5427),T3
LAUGHING HYENAS,Living Things,4/26/11 (#5427),R4
SOLID FOUNDATIONS,Thing,4/26/11 (#5427),R5
EPIC VOYAGE,Event,4/26/11 (#5427),BR
CACTUS FLOWERS,Living Things,4/27/11 (#5428),T1
SAUDI ARABIA,On the Map,4/27/11 (#5428),T2
THEY'RE PLAYING OUR SONG,Phrase,4/27/11 (#5428),R1
THE LAND OF LEPRECHAUNS,Place,4/27/11 (#5428),R2*
DISCO & COTTON BALL,Same Name,4/27/11 (#5428),R3
ROB LOWE,Proper Name,4/27/11 (#5428),T3
ADMINISTRATIVE PROFESSIONAL,Occupation,4/27/11 (#5428),R4
BOOK JACKET,Thing,4/27/11 (#5428),BR
MUTE BUTTON,Thing,4/28/11 (#5429),T1
IN IT TO WIN IT,Phrase,4/28/11 (#5429),T2
BEER-BATTERED FISH & CHIPS,Food & Drink,4/28/11 (#5429),R1
TIME TO FACE THE MUSIC THEATER,Before & After,4/28/11 (#5429),R2
THE FOOT OF AN ACTIVE VOLCANO,Place,4/28/11 (#5429),R3*
LIGHTNING BUGS,Living Things,4/28/11 (#5429),T3
RIDING A UNICYCLE,Fun & Games,4/28/11 (#5429),R4
POETS & WRITERS,People,4/28/11 (#5429),R5
GIVE A HOOT,Phrase,4/28/11 (#5429),BR
A MOONLIGHT NIGHT,Event,4/29/11 (#5430),T1
STAGE MANAGER,Show Biz,4/29/11 (#5430),T2
ON A HORSE WITH NO NAME,Song Lyrics,4/29/11 (#5430),R1
LOVELIEST LEADING LADY,Same Letter,4/29/11 (#5430),R2
RELAXING IN A POOLSIDE CABANA,What Are You Doing?,4/29/11 (#5430),R3*
FAMILY BUSINESS,Thing,4/29/11 (#5430),T3
INFORMATION BOOTH,Place,4/29/11 (#5430),R4
DOGGY DISH,Thing,4/29/11 (#5430),BR
JAZZ FESTIVAL,Show Biz,5/2/11 (#5431),T1
MISSISSIPPI RIVER,On the Map,5/2/11 (#5431),T2
WORKING HARD OR HARDLY WORKING?,Phrase,5/2/11 (#5431),R1
TASTING THE LOCAL RUM PUNCH,What Are You Doing?,5/2/11 (#5431),R2*
PUMPKIN & CUTIE PIE,Same Name,5/2/11 (#5431),R3
GOOD LUCK CHARM,Thing,5/2/11 (#5431),T3
CROCODILES AND GATORS,Living Things,5/2/11 (#5431),R4
TOUGH STUFF,Rhyme Time,5/2/11 (#5431),BR
JACKSON SQUARE,Landmark,5/3/11 (#5432),T1
NEXT-DOOR NEIGHBOR,Person,5/3/11 (#5432),T2
DIFFERENT STROKES FOR DIFFERENT FOLKS,Phrase,5/3/11 (#5432),R1
WAKE-UP CALL OF THE WILD,Before & After,5/3/11 (#5432),R2
EARLY MORNING SURFING LESSON,Fun & Games,5/3/11 (#5432),R3*
BROWN PELICAN,Living Thing,5/3/11 (#5432),T3
THE NEVILLE BROTHERS,Family,5/3/11 (#5432),R4
WITHIN YOUR GRASP,Phrase,5/3/11 (#5432),BR
MARDI GRAS FLOAT,Thing,5/4/11 (#5433),T1
RADIO DISC JOCKEY,Occupation,5/4/11 (#5433),T2
JUST ONE BIG HAPPY FAMILY,Phrase,5/4/11 (#5433),R1
WATER SLIDE TROMBONE,Before & After,5/4/11 (#5433),R2
KICKING BACK IN THE JACUZZI,What Are You Doing?,5/4/11 (#5433),R3*
BANANAS FOSTER,Food & Drink,5/4/11 (#5433),T3
CAR ENTHUSIAST,Person,5/4/11 (#5433),R4
MEDIA HYPE,Show Biz,5/4/11 (#5433),BR
THE CRESCENT CITY,Place,5/5/11 (#5434),T1
FRIENDLY FACES,Things,5/5/11 (#5434),T2
BEAUTY MARK TWAIN,Before & After,5/5/11 (#5434),R1
LIKE A BREATH OF FRESH AIR,Phrase,5/5/11 (#5434),R2*
DO DO THAT VOODOO THAT YOU DO SO WELL,Song Lyrics,5/5/11 (#5434),R3
SHRIMP JAMBALAYA,Food & Drink,5/5/11 (#5434),T3
SOLVING A MYSTERY,What Are You Doing?,5/5/11 (#5434),R4
A COOL VAN,Thing,5/5/11 (#5434),BR
GARDEN DISTRICT,Place,5/6/11 (#5435),T1
EQUIPMENT MANAGER,Occupation,5/6/11 (#5435),T2
SHINY STERLING SILVER SPOON,Same Letter,5/6/11 (#5435),R1
FAMOUS CROONER HARRY CONNICK JR.,Show Biz,5/6/11 (#5435),R2
HANGING OUT ON THE BEACH,What Are You Doing?,5/6/11 (#5435),R3*
MAGNOLIA BLOSSOMS,Living Things,5/6/11 (#5435),T3
IT'S NOT ROCKET SCIENCE,Phrase,5/6/11 (#5435),R4
BOBBY PIN,Thing,5/6/11 (#5435),BR
WHAT'S YOUR MAJOR?,Phrase,5/9/11 (#5436),T1
STUDENT UNION,Place,5/9/11 (#5436),T2
CHEERLEADERS FORMING A PYRAMID,Fun & Games,5/9/11 (#5436),R1
FUNNY BUSINESS DEGREE,Before & After,5/9/11 (#5436),R2
SEEING A SHOW IN THE BIG APPLE,Event,5/9/11 (#5436),R3*
FACEBOOK FRIEND,Person,5/9/11 (#5436),T3
ALL-NIGHT CRAM SESSION,College Life,5/9/11 (#5436),R4
BACK POCKET,Thing,5/9/11 (#5436),BR
JUNIORS & SENIORS,People,5/10/11 (#5437),T1
CARDINALS & CANARIES,Living Things,5/10/11 (#5437),T2
MARTIANS IN FLYING SAUCERS,Fictional Characters,5/10/11 (#5437),R1
TAKE NOTES FOR ME WHILE I'M AWAY,Phrase,5/10/11 (#5437),R2*
FRATERNITY HOUSE OF PANCAKES,Before & After,5/10/11 (#5437),R3
WEEKEND ROAD TRIP,Event,5/10/11 (#5437),T3
OFF-CAMPUS APARTMENT,Place,5/10/11 (#5437),R4
PHOTO EXHIBIT,Thing,5/10/11 (#5437),BR
ACADEMIC SCHOLARSHIP,College Life,5/11/11 (#5438),T1
RIVERBOAT CAPTAIN,Person,5/11/11 (#5438),T2
PLAYWRIGHT TENNESSEE WILLIAMS,Proper Name,5/11/11 (#5438),R1
WATER-SKIING ALONG THE COASTLINE,What Are You Doing?,5/11/11 (#5438),R2*
DORM ROOM FOR IMPROVEMENT,Before & After,5/11/11 (#5438),R3
RESEARCH LAB,Place,5/11/11 (#5438),T3
WALKING THE RED CARPET,Show Biz,5/11/11 (#5438),R4
INGENIOUS DEVICE,Thing,5/11/11 (#5438),BR
HONORS COURSE,Thing,5/12/11 (#5439),T1
FIELD HOCKEY,Fun & Games,5/12/11 (#5439),T2
ABSENT-MINDED PROFESSOR,Fictional Character,5/12/11 (#5439),R1
STUDIOUS & SUCCESSFUL SORORITY SISTERS,Same Letter,5/12/11 (#5439),R2
HOW I SPENT MY SUMMER VACATION,Phrase,5/12/11 (#5439),R3*
CHIRPING CRICKETS,Living Things,5/12/11 (#5439),T3
FRESHMAN ORIENTATION,College Life,5/12/11 (#5439),R4
FOCAL POINT,Thing,5/12/11 (#5439),BR
SPRING BREAK,Event,5/13/11 (#5440),T1
PLAYING KICKBALL,Fun & Games,5/13/11 (#5440),T2
ASKING MOM AND DAD FOR MONEY,What Are You Doing?,5/13/11 (#5440),R1
HOLLYWOOD MOVIE MAGIC,Show Biz,5/13/11 (#5440),R2*
GOOGLE AND JOB SEARCH,Same Name,5/13/11 (#5440),R3
TROUBLEMAKER,Person,5/13/11 (#5440),T3
NATIONAL GEOGRAPHIC,Title,5/13/11 (#5440),R4
QUALIFICATIONS,Things,5/13/11 (#5440),BR
BON APPETIT,Phrase,5/16/11 (#5441),T1
SAXOPHONE PLAYER,Person,5/16/11 (#5441),T2
KITCHEN KNICKNACKS,Same Letter,5/16/11 (#5441),R1
THE BELLE OF THE BALL AND CHAIN,Before & After,5/16/11 (#5441),R2
WATCHING THE SUNSET FROM THE SHIP'S DECK,What Are You Doing?,5/16/11 (#5441),R3*
ANNETTE BENING,Proper Name,5/16/11 (#5441),T3
CANDLELIGHT DINNER,Event,5/16/11 (#5441),R4
SQUARE FOOTAGE,Thing,5/16/11 (#5441),BR
FRIED CRAWFISH,Food & Drink,5/17/11 (#5442),T1
GULF OF MEXICO,On the Map,5/17/11 (#5442),T2
IT'S A BIRD IT'S A PLANE IT'S SUPERMAN,Quotation,5/17/11 (#5442),R1
CHEFS COOKING CAJUN CUISINE,Same Letter,5/17/11 (#5442),R2
THIS IS YOUR CAPTAIN SPEAKING,Phrase,5/17/11 (#5442),R3*
GUILTY PLEASURE,Thing,5/17/11 (#5442),T3
A STREETCAR NAMED DESIRE,Title,5/17/11 (#5442),R4
TRAVEL VOUCHER,Thing,5/17/11 (#5442),BR
SEAFOOD GUMBO,Food & Drink,5/18/11 (#5443),T1
WAITER & WAITRESS,Occupations,5/18/11 (#5443),T2
FEAST YOUR EYES ON THIS,Phrase,5/18/11 (#5443),R1
ALL KINDS OF EXOTIC PLANTS AND ANIMALS,Living Things,5/18/11 (#5443),R2*
THE BIG EASY-BAKE OVEN,Before & After,5/18/11 (#5443),R3
POTATO PEELER,In the Kitchen,5/18/11 (#5443),T3
CONVERSATION PIECE,Thing,5/18/11 (#5443),R4
BRIGHT OUTLOOK,Thing,5/18/11 (#5443),BR
OYSTERS ROCKEFELLER,Food & Drink,5/19/11 (#5444),T1
THE SOUTH OF FRANCE,On the Map,5/19/11 (#5444),T2
ENJOYING SCRUMPTOUS APPETIZERS,What Are You Doing?,5/19/11 (#5444),R1
SEVEN-LAYER & SKINNY-DIP,Same Name,5/19/11 (#5444),R2
YOU CAN'T HAVE YOUR CAKE AND EAT IT TOO,Phrase,5/19/11 (#5444),R3*
CONAN O'BRIEN,Proper Name,5/19/11 (#5444),T3
ELECTRIC CAN OPENER,In the Kitchen,5/19/11 (#5444),R4
HOT TOPIC,Thing,5/19/11 (#5444),BR
BREAD PUDDING,Food & Drink,5/20/11 (#5445),T1
TAG YOU'RE IT,Fun & Games,5/20/11 (#5445),T2
JOHNNY DEPP AS RANGO,Star & Role,5/20/11 (#5445),R1
LIVING THE ISLAND LIFESTYLE,Phrase,5/20/11 (#5445),R2*
THIS ONE GOES OUT TO THE ONE I LOVE,Song Lyrics,5/20/11 (#5445),R3
HOME PLATE UMPIRE,Person,5/20/11 (#5445),T3
WHAT'S FOR DESSERT?,Phrase,5/20/11 (#5445),R4
BOLD TYPEFACE,Thing,5/20/11 (#5445),BR
FAMILY MAN,Person,5/23/11 (#5446),T1
SECRET PASSAGE,Place,5/23/11 (#5446),T2
HEY DIDDLE DIDDLE THE CAT AND THE FIDDLE,Rhyme Time,5/23/11 (#5446),R1
GOD SAVE THE QUEEN-SIZED BED,Before & After,5/23/11 (#5446),R2
STOLLING THROUGH CENTRAL PARK,What Are You Doing?,5/23/11 (#5446),R3*
ANNUAL GET-TOGETHER,Event,5/23/11 (#5446),T3
TELEVISION THEME SONGS,Show Biz,5/23/11 (#5446),R4
WOOL GLOVES,Things,5/23/11 (#5446),BR
OH BROTHER,Phrase,5/24/11 (#5447),T1
LOOSE AS A GOOSE,Rhyme Time,5/24/11 (#5447),T2
ACADEMY AWARD WINNER COLIN FIRTH,Show Biz,5/24/11 (#5447),R1
THE FRENCH QUARTER IN NEW ORLEANS,On the Map,5/24/11 (#5447),R2*
COZY COMFORTABLE COUCH,Same Letter,5/24/11 (#5447),R3
CURIOUS GEORGE,Fictional Character,5/24/11 (#5447),T3
UNITED STATES SENATORS,People,5/24/11 (#5447),R4
DAILY BLOG,Thing,5/24/11 (#5447),BR
SISTER-IN-LAW,Person,5/25/11 (#5448),T1
COSMETICS COUNTER,Place,5/25/11 (#5448),T2
CATCHING A SOUVENIR FOUL BALL,Event,5/25/11 (#5448),R1
RED AND GREEN CHILI PEPPERS,Food & Drink,5/25/11 (#5448),R2*
PULLING A TOOTH DECAY,Before & After,5/25/11 (#5448),R3
SYCAMORE TREE,Living Thing,5/25/11 (#5448),T3
CONSTRUCTION WORKER,Occupation,5/25/11 (#5448),R4
BLACK GOWN,Thing,5/25/11 (#5448),BR
WORLD'S GREATEST DAD,Person,5/26/11 (#5449),T1
PINBALL MACHINE,Fun & Games,5/26/11 (#5449),T2
MISTER FANTASTIC & THE INVISIBLE WOMAN,Fictional Family,5/26/11 (#5449),R1
PUNCTUATION MARK WAHLBERG,Before & After,5/26/11 (#5449),R2
GETTING AWAY FROM IT ALL,What Are You Doing?,5/26/11 (#5449),R3*
LIGHTNING FIXTURES,Around the House,5/26/11 (#5449),T3
A MILLION-DOLLAR SMILE,Thing,5/26/11 (#5449),R4
QUITE A JOLT,Phrase,5/26/11 (#5449),BR
SCRABBLE TOURNAMENT,Fun & Games,5/27/11 (#5450),T1
CHICKEN LITTLE,Fictional Character,5/27/11 (#5450),T2
REUNITED AND IT FEELS SO GOOD,Song Lyrics,5/27/11 (#5450),R1
HIGHLY RESPECTED MEMBER OF THE COMMUNITY,Phrase,5/27/11 (#5450),R2
RIDING THE FERRY TO ALCATRAZ ISLAND,Event,5/27/11 (#5450),R3*
INDIANAPOLIS INDIANA,On the Map,5/27/11 (#5450),T3
TAKING THE NEXT STEP,What Are You Doing?,5/27/11 (#5450),R4
UNUSUAL HOBBY,Thing,5/27/11 (#5450),BR
GAME SET AND MATCH,Phrase,5/30/11 (#5451),T1
LINEN NAPKINS,Around the House,5/30/11 (#5451),T2
HALL OF FAMER PETE SAMPRAS,Proper Name,5/30/11 (#5451),R1
CHARTERING A CATAMARAN FOR THE DAY,Fun & Games,5/30/11 (#5451),R2*
COUNTRY MUSIC FIDDLER ON THE ROOF,Before & After,5/30/11 (#5451),R3
GLASS ELEVATOR,Place,5/30/11 (#5451),T3
SUNDAE WITH A CHERRY ON TOP,Food & Drink,5/30/11 (#5451),R4
PHONE JACK,Thing,5/30/11 (#5451),BR
WOODEN RACQUETS,Things,5/31/11 (#5452),T1
GO WITH THE FLOW,Rhyme Time,5/31/11 (#5452),T2
ANDRE AGASSI & STEFFI GRAF,Husband & Wife,5/31/11 (#5452),R1
ELEPHANT & CARGO TRUNK,Same Name,5/31/11 (#5452),R2
TOURING COASTAL FISHING VILLAGES,What Are You Doing?,5/31/11 (#5452),R3*
CLAY COURTS,Places,5/31/11 (#5452),T3
A PENNY FOR YOUR THOUGHTS,Phrase,5/31/11 (#5452),R4
PIPING HOT,Phrase,5/31/11 (#5452),BR
VENUS WILLIAMS,Proper Name,6/1/11 (#5453),T1
THE KING'S SPEECH,Movie Title,6/1/11 (#5453),T2
NOTHING VENTURED NOTHING GAINED,Phrase,6/1/11 (#5453),R1
BAKING BUTTERSCOTCH BROWNIES,Same Letter,6/1/11 (#5453),R2
GENTLY SWAYING PALM TREES,Living Things,6/1/11 (#5453),R3*
LINE JUDGE,Person,6/1/11 (#5453),T3
JUMPING OVER THE NET,What Are You Doing?,6/1/11 (#5453),R4
LOOKS YUMMY,Phrase,6/1/11 (#5453),BR
SERVE AND VOLLEY,Phrase,6/2/11 (#5454),T1
YELLOW DAFFODILS,Living Things,6/2/11 (#5454),T2
GOLDILOCKS AND THE THREE BEARS,Title,6/2/11 (#5454),R1
TAKE IT TO THE LIMIT ONE MORE TIME,Song Lyrics,6/2/11 (#5454),R2*
STOCK TIP OF THE ICEBERG,Before & After,6/2/11 (#5454),R3
JIMMY CONNORS,Proper Name,6/2/11 (#5454),T3
FLIGHT INSTRUCTOR,Occupation,6/2/11 (#5454),R4
AT THE BUZZER,Phrase,6/2/11 (#5454),BR
DOUBLES PARTNERS,People,6/3/11 (#5455),T1
CLASS REUNION,Event,6/3/11 (#5455),T2
WEEKEND BOX OFFICE REPORT,Show Biz,6/3/11 (#5455),R1
OPEN-FACED CORNED BEEF SANDWICH,Food & Drink,6/3/11 (#5455),R2
YOU HAVE TO SEE IT TO BELIEVE IT,Phrase,6/3/11 (#5455),R3*
JOHN MCENROE,Proper Name,6/3/11 (#5455),T3
THE COWARDLY LION,Fictional Character,6/3/11 (#5455),R4
FILL THE VOID,Phrase,6/3/11 (#5455),BR
GO WEST YOUNG MAN,Quotation,6/6/11 (#5456),T1
TWENTY QUESTIONS,Fun & Games,6/6/11 (#5456),T2
UNIVERSITY MARCHING BAND,People,6/6/11 (#5456),R1
BURYING MY FEET IN THE SAND,What Are You Doing?,6/6/11 (#5456),R2*
INSTANT RELIEF PITCHER,Before & After,6/6/11 (#5456),R3
HOUSE PAINTER,Occupation,6/6/11 (#5456),T3
CLYDESDALE HORSES,Living Things,6/6/11 (#5456),R4
PAID INVOICE,Thing,6/6/11 (#5456),BR
THE GOLDEN STATE,Place,6/7/11 (#5457),T1
SUMMER SQUASH,Food & Drink,6/7/11 (#5457),T2
JUST SCRATCHING THE SURFACE,Phrase,6/7/11 (#5457),R1
WRINKLE CREAM AND SUGAR,Before & After,6/7/11 (#5457),R2
SENDING POSTCARDS TO ALL MY FRIENDS,What Are You Doing?,6/7/11 (#5457),R3*
PUBLICITY STUNT,Event,6/7/11 (#5457),T3
THIRD-BASE COACH,Person,6/7/11 (#5457),R4
AWKWARD PHASE,Thing,6/7/11 (#5457),BR
CIRCUS RINGMASTER,Person,6/8/11 (#5458),T1
FAIRBANKS ALASKA,On the Map,6/8/11 (#5458),T2
AN IMPRESSIVE BODY OF WORK,Thing,6/8/11 (#5458),R1
I'M HAVING A REALLY GOOD DAY,Phrase,6/8/11 (#5458),R2*
SUPER AND CEREAL BOWL,Same Name,6/8/11 (#5458),R3
FULL-LENGTH MIRROR,Around the House,6/8/11 (#5458),T3
WHAT'S HOT AND WHAT'S NOT,Rhyme Time,6/8/11 (#5458),R4
HUGE EGO,Thing,6/8/11 (#5458),BR
CIVIL ENGINEER,Occupation,6/9/11 (#5459),T1
MOTOR SPEEDWAY,Place,6/9/11 (#5459),T2
LONG ISLAND SOUND EFFECTS,Before & After,6/9/11 (#5459),R1
PLEASE HAVE YOUR BOARDING PASS READY,Phrase,6/9/11 (#5459),R2*
WHOLESOME FAMILY ENTERTAINMENT,Show Biz,6/9/11 (#5459),R3
SOUTH CAROLINA,On the Map,6/9/11 (#5459),T3
INVESTING IN THE FUTURE,What Are You Doing?,6/9/11 (#5459),R4
SUNDAY BRUNCH,Event,6/9/11 (#5459),R5
WEB VIDEO,Thing,6/9/11 (#5459),BR
FIREWORKS DISPLAY,Event,6/10/11 (#5460),T1
COMPUTER PROGRAMMER,Occupation,6/10/11 (#5460),T2
UNITED STATES COAST GUARD,Proper Name,6/10/11 (#5460),R1
LEAGUE NIGHT AT THE BOWLING ALLEY,Fun & Games,6/10/11 (#5460),R2
SPICY JAMAICAN JERK CHICKEN,Food & Drink,6/10/11 (#5460),R3*
LOUISVILLE KENTUCKY,On the Map,6/10/11 (#5460),T3
NOW THAT TAKES THE CAKE,Phrase,6/10/11 (#5460),R4
I'M HOPEFUL,Phrase,6/10/11 (#5460),BR
START WITH A BANG,Phrase,9/19/11 (#5461),T1
ICE-COLD LEMONADE,Food & Drink,9/19/11 (#5461),T2
PUT A LITTLE PEP IN YOUR STEP,Rhyme Time,9/19/11 (#5461),R1
PIRATES OF THE CARIBBEAN ON STRANGER TIDES,Movie Title,9/19/11 (#5461),R2*
MONKEY BUSINESS PROPOSITION,Before & After,9/19/11 (#5461),R3
BABY PICTURES,Around the House,9/19/11 (#5461),T3
A HANDWRITTEN LETTER,Thing,9/19/11 (#5461),R4
MIGHTY PROUD,Phrase,9/19/11 (#5461),BR
THE PERFECT HOST,Person,9/20/11 (#5462),T1
WE JUMPED AT THE CHANCE,Phrase,9/20/11 (#5462),T2
CHOCOLATE LABRADOR RETRIEVER,Living Thing,9/20/11 (#5462),R1
OH GIVE ME A HOME WHERE THE BUFFALO ROAM,What's That Song?,9/20/11 (#5462),R2^
AMERICA'S FIFTIETH STATE,Place,9/20/11 (#5462),R3*
HOLLYWOOD STUNTMAN,Occupation,9/20/11 (#5462),T3
SPRINKLES ON MY CUPCAKES,Food & Drink,9/20/11 (#5462),R4
BANQUET ROOM,Place,9/20/11 (#5462),BR
EVERYBODY'S WELCOME,Phrase,9/21/11 (#5463),T1
CHILDHOOD MEMORIES,Things,9/21/11 (#5463),T2
NOW PLAYING AT A THEATER NEAR YOU,Show Biz,9/21/11 (#5463),R1
PROFESSIONAL SKI INSTRUCTOR,Occupation,9/21/11 (#5463),R2*
FANTASTIC FAITHFUL FANS,Same Letter,9/21/11 (#5463),R3
KNOW-IT-ALL,Person,9/21/11 (#5463),T3
SILVER SERVING PLATTER,Around the House,9/21/11 (#5463),R4
CROWDED SUBWAY,Thing,9/21/11 (#5463),BR
THE FRONT PORCH,Place,9/22/11 (#5464),T1
X-MEN: FIRST CLASS,Movie Title,9/22/11 (#5464),T2
IT TAKES TWO TO TANGO,Phrase,9/22/11 (#5464),R1
ROLLING ON THE FLOOR LAUGHING,What Are You Doing?,9/22/11 (#5464),R2*
JUST ONE BIG HAPPY FAMILY FEUD,Before & After,9/22/11 (#5464),R3
ELECTRIC GUITAR,Thing,9/22/11 (#5464),T3
RED DELICIOUS APPLES,Food & Drink,9/22/11 (#5464),R4
BUY IN BULK,Phrase,9/22/11 (#5464),BR
OUR DOOR IS ALWAYS OPEN,Phrase,9/23/11 (#5465),T1
STREET PERFORMER,Person,9/23/11 (#5465),T2
IT'S A BEAUTIFUL DAY IN THIS NEIGHBORHOOD,Song Lyrics,9/23/11 (#5465),R1
POPSICLE AND HOCKEY STICK,Same Name,9/23/11 (#5465),R2
WHALE-WATCHING CRUISE,Event,9/23/11 (#5465),R3*
GRANDFATHER CLOCK,Around the House,9/23/11 (#5465),T3
LANDING THE LEAD ROLE,Show Biz,9/23/11 (#5465),R4
CABIN FEVER,Phrase,9/23/11 (#5465),BR
STEAM ROOM,Place,9/26/11 (#5466),T1
SUPER-DUPER,Rhyme Time,9/26/11 (#5466),T2
SPARKLING MINERAL WATER,Food & Drink,9/26/11 (#5466),R1
MASSAGE AND POOL TABLE,Same Name,9/26/11 (#5466),R2
PLAYING BEACH VOLLEYBALL,Fun & Games,9/26/11 (#5466),R3*
PICTURE FRAMES,Around the House,9/26/11 (#5466),T3
THE ROYAL TREATMENT,Phrase,9/26/11 (#5466),R4
BATTLE OF THE BANDS,Event,9/26/11 (#5466),R5
BACKFLIP,Thing,9/26/11 (#5466),BR
REST AND RELAXATION,Phrase,9/27/11 (#5467),T1
BAMBOO PLANT,Living Thing,9/27/11 (#5467),T2
EVERYTHING I DO I DO IT FOR YOU,Song Lyrics,9/27/11 (#5467),R1
SKIERS AND SNOWBOARDERS,People,9/27/11 (#5467),R2*
CAST A MAGIC SPELL CHECKER,Before & After,9/27/11 (#5467),R3
INSTANT REPLAY,Show Biz,9/27/11 (#5467),T3
SETTING A GOOD EXAMPLE,What Are You Doing?,9/27/11 (#5467),R4
BITE-SIZE PIECES,Things,9/27/11 (#5467),BR
I'LL BE IN THE SAUNA,Phrase,9/28/11 (#5468),T1
MR. POPPER'S PENGUINS,Title,9/28/11 (#5468),T2
CERTIFIED YOGA INSTRUCTOR,Occupation,9/28/11 (#5468),R1
TAKING A NICE LONG BREAK,What Are You Doing?,9/28/11 (#5468),R2*
JOHNNY-ON-THE-SPOT REMOVER,Before & After,9/28/11 (#5468),R3
HEALTH & WELLNESS,Things,9/28/11 (#5468),T3
WOMAN'S WRISTWATCH,Same Letter,9/28/11 (#5468),R4
FAR BEHIND,Phrase,9/28/11 (#5468),BR
BODY LOTION,Thing,9/29/11 (#5469),T1
WILD-GOOSE CHASE,Phrase,9/29/11 (#5469),T2
MAY THE FORCE BE WITH YOU,Movie Quote,9/29/11 (#5469),R1
FASHION MODEL TRAIN SET,Before & After,9/29/11 (#5469),R2
CANADA WELCOMES THE DUKE AND DUCHESS,Headline,9/29/11 (#5469),R3*
FRONT-RUNNER,Person,9/29/11 (#5469),T3
WHITE COTTON BATHROBE,Around the House,9/29/11 (#5469),R4
ROUGH PATCH,Thing,9/29/11 (#5469),BR
FITNESS CENTER,Place,9/30/11 (#5470),T1
LITTLE GREEN MEN,Fictional Characters,9/30/11 (#5470),T2
NOISE-CANCELING HEADPHONES,Things,9/30/11 (#5470),R1
BLOWING BIG BIG BUBBLES,Same Letter,9/30/11 (#5470),R2
WEARING A GRASS SKIRT,What Are You Doing?,9/30/11 (#5470),R3*
HAPPY CAMPERS,People,9/30/11 (#5470),T3
A REAL BARN BURNER,Phrase,9/30/11 (#5470),R4
ENCORE PRESENTATION,Show Biz,9/30/11 (#5470),R5
COMFY HOME,Place,9/30/11 (#5470),BR
AHOY MATEY!,Phrase,10/3/11 (#5471),T1
SATELLITE RADIO,Show Biz,10/3/11 (#5471),T2
LIFETIME ACHIEVEMENT AWARD,Thing,10/3/11 (#5471),R1
LIVE FROM NEW YORK IT'S SATURDAY NIGHT,TV Quote,10/3/11 (#5471),R2*
DON'T GO BREAKING MY HEART,Song Title,10/3/11 (#5471),R3
SNAPDRAGONS,Living Things,10/3/11 (#5471),T3
POPEYE THE SAILOR MAN,Fictional Character,10/3/11 (#5471),R4
JOB FAIR,Event,10/3/11 (#5471),BR
FULL STEAM AHEAD,Phrase,10/4/11 (#5472),T1
COWBOYS & ALIENS,Movie Title,10/4/11 (#5472),T2
CHIEF EXECUTIVE OFFICER,Occupation,10/4/11 (#5472),R1
WATERPROOF SUNSCREEN,Thing,10/4/11 (#5472),R2*
ROME WASN'T BUILT IN A DAY CARE CENTER,Before & After,10/4/11 (#5472),R3
KATHIE LEE GIFFORD,Proper Name,10/4/11 (#5472),T3
